,css,name
,default,null
Current Teams,label,null
3s Up,3sup,null
Automatic Reload,ar,null
Avant Garde,avantgarde,null
Aware Gaming,aware,null
Below Zero,bz,null
Denial eSports,denial,null
DT,dt,null
Epsilon eSports,epsilon,null
Exertus,exertus,null
Fabe,fabe,null
FaZe Clan,faze,null
Gamers 2,gamers2,null
Hypergames,hypergames,null
Integral Nation,in,null
iSolation Empire,iso,null
Menace,menace,null
Millenium,millenium,null
Mindfreak,mindfreak,null
OpTic Gaming,opticgaming,null
OpTic Nation,opticnation,null
Orbit,orbit,null
Rapid,rapid,null
Rise Nation,rise,null
SSOF,ssof,null
Strictly Business,sb,null
SYNRGY Gaming,syn,null
TCM Gaming,tcm,null
Team AscenTia,ascentia,null
Team eLevate,elevate,null
Team EnVyUs,envyus,null
Team Infused,infused,null
Team JusTus,justus,null
Team Kaliber,tk,null
Team Klar1ty,klar1ty,null
Team Prophecy ,prophecy,null
Team Revenge ,tr,null
UnderratiX,underratix,null
VexX Gaming,vexx,null
Vitality,vitality,null
vVV Gaming,vvv,null
VwS Gaming,vws,null
XGN,xgn,null
Legacy Teams,label,null
Complexity ,complexity,null
Curse Gaming,curse,null
eGirl Slayers,egirlslayers,null
Evil Geniuses,eg,null
Fariko Gaming,fariko,null
FaZe Black,fazeblack,null
Final Boss,finalboss,null
iCoNs Gaming,icons,null
Impact,impact,null
Killerfish,killerfish,null
Lightning Pandaz ,lp,null
Quantic Gaming,quantic,null
Team FeaR,fear,null
Team Immunity,immunity,null
TKO,tko,null
UNiTE Gaming,unite,null
Xtravagant,xtravagant,null
Tournaments,label,null
ACL Pro,aclpro,null
COD Champs,codchamps,null
Does Play,doesplay,null
EGL,egl,null
EGO,ego,null
Epic,epic,null
ESL,esl,null
ESWC,eswc,null
Gfinity,gfinity,null
MES,mes,null
MLG,mlg,null
Twitch,twitch,null
UGC,ugc,null
UMG,umg,null
Flags,label,null
Austrailia,aus,null
Belgium,belgium,null
Brazil,brazil,null
Canada,canada,null
England,england,null
EU,eu,null
Finland,finland,null
France,france,null
Germany,germany,null
Ireland,ireland,null
Italy,italy,null
Mexico,mexico,null
Netherlands,netherlands,null
Northern Ireland,ni,null
Norway,norway,null
New Zealand,nz,null
Russia,russia,null
Scotland,scotland,null
Spain,spain,null
Sweden,sweden,null
United Kingdom,uk,null
United States,usa,null
Wales,wales,null
Call of Duty,label,null
Modern Warfare,cod4,null
World at War,codwaw,null
Modern Warfare 2,codmw2,null
Black Ops,codbo,null
Modern Warfare 3,codmw3,null
Black Ops 2,codbo2,null
Ghosts,codghosts,null
Advanced Warfare,codaw,null
Infinity Ward,iw,null
Treyarch,treyarch,null
